Year,sum_of_prices,avg_sum,Average_cost,Avg_cost,Avg_consum_per_capita
1970,19.418,141.13112,0,0.380745098,121.5411765
1971,20.115,141.13112,0,0.394411765,124.6843137
1972,20.387,141.13112,0,0.399745098,129.3176471
1973,21.057,141.13112,0,0.412882353,130.8941176
1974,22.505,141.13112,0,0.44127451,133.7431373
1975,24.233,141.13112,0,0.475156863,135.5411765
1976,24.895,141.13112,0,0.488137255,138.7490196
1977,27.725,141.13112,1,0.543627451,137.8960784
1978,28.853,141.13112,1,0.565745098,137.1294118
1979,30.436,141.13112,1,0.596784314,134.8215686
1980,32.064,141.13112,1,0.628705882,134.8823529
1981,35.531,141.13112,1,0.696686275,134.9764706
1982,41.456,141.13112,1,0.812862745,133.0490196
1983,47.179,141.13112,1,0.925078431,128.1862745
1984,49.909,141.13112,1,0.978607843,122.2509804
1985,53.194,141.13112,1,1.043019608,120.527451
1986,56.777,141.13112,1,1.11327451,117.6235294
1987,61.237,141.13112,1,1.20072549,114.7254902
1988,66.813,141.13112,1,1.310058824,110.5156863
1989,73.79,141.13112,1,1.446862745,106.645098
1990,78.168,141.13112,2,1.532705882,102.3568627
1991,88.499,141.13112,2,1.73527451,100.1117647
1992,93.657,141.13112,2,1.836411765,98.9372549
1993,85.889,141.13112,2,1.684098039,97.46862745
1994,89.108,141.13112,2,1.747215686,96.0254902
1995,92.537,141.13112,2,1.81445098,95.94313725
1996,95.945,141.13112,2,1.88127451,93.92352941
1997,102.329,141.13112,2,2.00645098,93.45294118
1998,113.912,141.13112,2,2.233568627,92.06666667
1999,151.061,141.13112,3,2.961980392,88.92352941
2000,161.14,141.13112,3,3.159607843,83.80196078
2001,173.392,141.13112,3,3.399843137,80.9372549
2002,188.914,141.13112,4,3.704196078,79.2
2003,194.958,141.13112,4,3.822705882,77.81960784
2004,197.142,141.13112,4,3.865529412,72.76470588
2005,205.892,141.13112,4,4.037098039,71.4745098
2006,209.173,141.13112,4,4.101431373,69.6
2007,222.699,141.13112,4,4.366647059,67.53921569
2008,231.912,141.13112,5,4.547294118,62.98627451
2009,281.974,141.13112,6,5.528901961,59.87647059
2010,296.342,141.13112,6,5.810627451,54.26470588
2011,302.488,141.13112,6,5.931137255,52.5372549
2012,304.26,141.13112,6,5.965882353,50.81764706
2013,311.067,141.13112,6,6.099352941,48.92941176
2014,315.654,141.13112,6,6.189294118,46.70588235
2015,323.202,141.13112,6,6.337294118,46.34509804
2016,330.599,141.13112,6,6.482333333,45.12156863
2017,341.112,141.13112,7,6.688470588,43.59019608
2018,351.729,141.13112,7,6.896647059,41.11372549
2019,364.228,141.13112,7,7.14172549,38.81960784
