LocationDesc,Data_Value
District of Columbia,57.1
Connecticut,53.4
Rhode Island,53.3
New York,50.9
Minnesota,50.8
California,47.7
Washington,47.1
Vermont,46.4
Massachusetts,46.3
New Jersey,46
