LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder
UT,Utah,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.519,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.589,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.657,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.625,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.539,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.076,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.674,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.585,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CO,Colorado,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.042,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.079,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.607,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.793,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.783,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.19,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.655,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.452,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.227,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VT,Vermont,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.414,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IA,Iowa,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.389,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IL,Illinois,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
FL,Florida,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.519,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.447,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OK,Oklahoma,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.038,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
LA,Louisiana,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.781,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.692,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WY,Wyoming,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.53,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NJ,New Jersey,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.493,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.256,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.944,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NM,New Mexico,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.63,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.977,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.621,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.437,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.008,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VA,Virginia,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.939,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MO,Missouri,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.325,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NE,Nebraska,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.434,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CT,Connecticut,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.318,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.306,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IA,Iowa,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.432,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IN,Indiana,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.466,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CO,Colorado,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.873,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.02,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WA,Washington,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.459,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.936,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.909,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KS,Kansas,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.365,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TN,Tennessee,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.815,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NE,Nebraska,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.498,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DC,District of Columbia,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.811,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.506,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.688,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IL,Illinois,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.396,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.975,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WA,Washington,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.726,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IN,Indiana,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.478,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.55,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NE,Nebraska,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.326,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MI,Michigan,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.634,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.501,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DE,Delaware,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.459,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ID,Idaho,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.071,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
LA,Louisiana,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.41,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.752,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.618,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.598,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.635,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NC,North Carolina,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.447,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NE,Nebraska,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.695,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.505,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.478,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.322,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.984,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DE,Delaware,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.993,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.657,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.504,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VT,Vermont,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.019,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MD,Maryland,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.461,$,Dollars,"(39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TX,Texas,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.747,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.056,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MO,Missouri,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.04,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.234,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IN,Indiana,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.583,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.195,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MN,Minnesota,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.476,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.035,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DE,Delaware,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.193,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.873,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.525,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IL,Illinois,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.058,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
