,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
19,RI,Rhode Island,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.003,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,20
20,OH,Ohio,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.022,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,21
21,FL,Florida,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.3980000000000001,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,22
22,VA,Virginia,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.094,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463,23
23,UT,Utah,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5190000000000001,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,24
24,ME,Maine,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.589,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,25
25,AZ,Arizona,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6569999999999998,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277,26
26,OH,Ohio,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.625,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,27
27,MS,Mississippi,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5390000000000001,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825,28
28,MA,Massachusetts,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.076,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,29
29,AL,Alabama,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6740000000000002,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,30
30,MA,Massachusetts,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.585,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,31
31,CO,Colorado,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.042,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,32
32,SD,South Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.079,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,33
33,MT,Montana,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.6069999999999998,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645,34
34,OH,Ohio,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.793,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,35
35,WI,Wisconsin,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.783,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,36
36,OH,Ohio,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.19,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,37
37,GA,Georgia,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.655,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346,38
38,ME,Maine,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.452000000000001,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,39
39,OH,Ohio,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.227,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,40
40,VT,Vermont,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.414,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791,41
41,IA,Iowa,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.388999999999999,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,42
42,IL,Illinois,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178,43
43,FL,Florida,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.519,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,44
44,HI,Hawaii,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.447,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,45
45,OK,Oklahoma,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.038,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.472031356, -97.521070214,46
46,LA,Louisiana,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.781,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.312660644, -92.445680071,47
47,MS,Mississippi,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.6920000000000001,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825,48
48,WY,Wyoming,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.53,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.235541343, -108.109830353,49
49,NJ,New Jersey,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.493,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.130570048, -74.273691288,50
50,AZ,Arizona,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.256,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277,51
51,PA,Pennsylvania,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.944,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,52
52,NM,New Mexico,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.63,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.520880952, -106.240580985,53
53,KY,Kentucky,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.977,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048,54
54,SD,South Dakota,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.621,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,55
55,SD,South Dakota,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.437,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,56
56,WI,Wisconsin,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.008,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,57
57,VA,Virginia,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.939,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463,58
58,MO,Missouri,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.325,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.635790776, -92.566300053,59
59,NE,Nebraska,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.4340000000000002,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,60
60,CT,Connecticut,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.3180000000000005,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,61
61,KY,Kentucky,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.306,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048,62
62,IA,Iowa,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.43200000000000005,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,63
63,IN,Indiana,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.466,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194,64
64,CO,Colorado,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.872999999999999,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,65
65,NV,Nevada,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.02,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,66
66,WA,Washington,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.45899999999999996,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079,67
67,AR,Arkansas,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.9359999999999999,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743,68
