,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
546,IN,Indiana,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.325,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194,547
547,CA,California,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.607,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.638640123, -120.999999538,548
548,KS,Kansas,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.713,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,549
549,SD,South Dakota,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.391,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,550
550,IA,Iowa,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.273,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,551
551,RI,Rhode Island,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.219,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,552
552,CT,Connecticut,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.123,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,553
553,MA,Massachusetts,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.4459999999999997,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,554
554,WY,Wyoming,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.6710000000000003,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.235541343, -108.109830353,555
555,ME,Maine,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.1959999999999997,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,556
556,NH,New Hampshire,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.2590000000000001,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,557
557,FL,Florida,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.43799999999999994,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,558
558,RI,Rhode Island,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.2289999999999996,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,559
559,SC,South Carolina,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5390000000000001,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,33.998821303, -81.045371207,560
560,KS,Kansas,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.997,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,561
561,OR,Oregon,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.424,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,562
562,NE,Nebraska,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.848,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,563
563,CA,California,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.0780000000000003,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.638640123, -120.999999538,564
564,ID,Idaho,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.911,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,565
565,NY,New York,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.542,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,566
566,AR,Arkansas,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.521,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743,567
567,UT,Utah,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.722,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,568
568,ID,Idaho,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.181,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,569
569,ID,Idaho,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.6460000000000004,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,570
570,AK,Alaska,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.658999999999999,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,64.845079957001, -147.722059036,571
571,DC,District of Columbia,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.433,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127,572
572,MN,Minnesota,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.163,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,46.355648736, -94.794200503,573
573,NH,New Hampshire,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.379,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,574
574,NY,New York,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5379999999999999,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,575
575,MN,Minnesota,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.814,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,46.355648736, -94.794200503,576
576,IA,Iowa,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.496,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,577
577,NY,New York,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.42700000000000005,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,578
578,RI,Rhode Island,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.522,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,579
579,ID,Idaho,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.498,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,580
580,TX,Texas,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.669,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.827240407, -99.426770206,581
581,TX,Texas,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.364,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.827240407, -99.426770206,582
582,KS,Kansas,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6769999999999998,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,583
583,AK,Alaska,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.047,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,64.845079957001, -147.722059036,584
584,ME,Maine,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.38799999999999996,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,585
585,WA,Washington,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.992,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079,586
586,NJ,New Jersey,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.637,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.130570048, -74.273691288,587
587,OR,Oregon,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.623,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,588
588,AL,Alabama,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.2229999999999999,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,589
589,UT,Utah,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.812,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,590
590,CA,California,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.45,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.638640123, -120.999999538,591
591,ND,North Dakota,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.1930000000000005,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,592
592,AK,Alaska,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.125,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,64.845079957001, -147.722059036,593
593,OH,Ohio,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.922,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,594
594,AK,Alaska,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.0140000000000002,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,64.845079957001, -147.722059036,595
595,IA,Iowa,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.419,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,596
596,IL,Illinois,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.972000000000001,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178,597
597,FL,Florida,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5589999999999999,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,598
598,AZ,Arizona,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.536,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277,599
599,CT,Connecticut,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.584,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,600
600,WI,Wisconsin,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.8680000000000003,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,601
601,NY,New York,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.077,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,602
602,IL,Illinois,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.484,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178,603
603,ID,Idaho,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.6759999999999999,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,604
604,UT,Utah,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.296,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,605
605,MO,Missouri,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.599,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.635790776, -92.566300053,606
606,WI,Wisconsin,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.383,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,607
607,CO,Colorado,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.216,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,608
608,SD,South Dakota,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5030000000000001,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,609
609,DC,District of Columbia,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.219,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127,610
610,MT,Montana,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.8339999999999996,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645,611
611,NY,New York,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.595,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,612
612,CO,Colorado,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.203,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,613
613,MS,Mississippi,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.179,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825,614
614,ND,North Dakota,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.532,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,615
615,WV,West Virginia,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.452,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,616
616,HI,Hawaii,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,9.092,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,617
617,KY,Kentucky,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.578,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048,618
618,SC,South Carolina,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.645,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,33.998821303, -81.045371207,619
619,MO,Missouri,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.822,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.635790776, -92.566300053,620
620,ND,North Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.2359999999999998,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,621
621,AR,Arkansas,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.944,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743,622
622,IA,Iowa,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.997000000000001,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,623
623,ND,North Dakota,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.683,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,624
624,ME,Maine,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.61,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,625
625,SD,South Dakota,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.221,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,626
626,NC,North Carolina,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.96,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.466220975, -79.159250463,627
627,CT,Connecticut,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.545,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,628
628,SD,South Dakota,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.46399999999999997,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,629
629,CO,Colorado,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.696,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,630
630,NH,New Hampshire,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.343,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,631
631,PA,Pennsylvania,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.7619999999999998,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,632
632,MA,Massachusetts,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.441,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,633
633,TX,Texas,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.736,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.827240407, -99.426770206,634
634,NE,Nebraska,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.595,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,635
635,VT,Vermont,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.138,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791,636
636,CT,Connecticut,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.42,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,637
637,MN,Minnesota,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.9769999999999999,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,46.355648736, -94.794200503,638
638,ND,North Dakota,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.709,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,639
639,CT,Connecticut,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.644,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952,640
640,GA,Georgia,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.561,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346,641
641,FL,Florida,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.46799999999999997,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,642
642,IA,Iowa,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.79,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,643
643,PA,Pennsylvania,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.303,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,644
644,VT,Vermont,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.011,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791,645
